CalculationService,144.75,98,2.1,100,73,78,84,2.25
PTTInfo,418.6,99,4.7,100,73,89,62,1.4
DOTSGeoCoder,107.45,97,13.3,99,73,78,80,1.36
ConfigEditingService,368.0,90,12.2,97,60,78,74,14.2
emowseService,274.0,100,14.0,100,73,100,84,6.6
RateCalculatorService,183.0,93,11.4,98,73,89,62,58.0
AtcoResDirect,188.31,100,11.8,100,67,100,77,6.23
RefSeq,332.5,71,11.8,72,83,89,91,4.5
AmazonHistoricalPricing,55.5,81,19.1,82,73,100,80,4.75
AMIWebServiceService,484.5,78,5.9,79,67,89,72,43.5
NavFunctions,65.0,67,5.6,68,73,89,84,23.7
UserManagement,221.53,26,4.7,26,67,100,77,170.53
zCalcSvc,160.5,86,17.2,86,73,89,84,3.0
PassportService,685.86,22,3.2,22,33,89,59,22.14
BarCode,2967.0,90,5.1,97,73,78,84,41.0
listorService,328.0,94,12.3,98,73,100,84,10.6
SiteUser,175.67,73,5.5,74,73,89,84,56.5
Blast,1226.67,63,1.9,64,83,89,91,869.0
RsomService,323.5,56,10.5,56,83,89,91,14.0
infoalignService,276.0,88,13.5,96,73,100,84,6.4
GetSomeValueService,324.5,72,14.6,72,78,89,89,124.5
NominaliaWS,153.32,97,9.2,97,60,100,74,2.96
InvitationService,57.0,85,5.0,95,73,100,80,1.0
interopLab,161.5,34,2.0,35,67,67,82,21.64
addressMeister.comService,555.0,83,5.6,84,73,89,84,111.0
PolicyDocuments,182.33,100,11.6,100,73,100,84,63.33
emowseService,259.4,85,1.9,95,67,100,82,33.8
replicaCatalogService,80.67,38,2.3,38,80,89,78,3.67
caiService,300.8,86,2.2,95,73,100,84,6.4
FaxService,79.0,83,32.0,84,78,89,89,3.0
CompanyInfoService,126.0,83,18.4,84,73,89,80,12.0
gcat,333.5,68,3.0,68,73,89,84,2.9
UserService,114.0,97,15.7,99,73,89,62,50.5
SerClsPeticionSOAPTPVPCservice,205.0,71,13.1,72,83,89,91,11.0
AnalysisWSAppLabImplService,333.52,86,3.0,86,53,89,66,111.26
w_invoicereceipt,330.5,65,7.8,66,73,67,84,13.33
nEkaWebService,238.0,87,3.8,96,80,89,65,1.17
LVISWebService,175.0,92,4.3,97,73,78,84,13.0
OMIM,311.25,56,7.0,56,83,89,91,7.0
ICD9ToICD10,1936.5,93,3.4,98,73,78,84,39.0
GBNIRHolidayDates,126.17,98,12.0,100,67,78,82,22.77
AddressBookService,358.0,95,27.0,98,50,89,66,119.0
SoapTest,158.8,87,5.8,96,73,78,80,30.8
TWebService1,3567.0,93,5.6,98,80,100,87,39.0
nalennd,298.83,46,7.7,46,83,89,91,114.0
tmapService,257.8,85,1.0,95,58,100,75,5.8
eFetchService,163.0,83,20.4,84,73,78,84,5.0
BankValSOAP,358.0,83,16.8,84,83,89,93,5.0
SOAPReceive,95.0,83,24.1,84,73,78,80,3.0
danService,390.2,91,11.0,97,58,100,75,8.6
ImgCutout,79.25,99,20.8,100,73,78,80,25.5
BetafaceWebService,118.14,60,9.0,60,73,89,80,3.41
seqmatchallService,219.0,94,1.2,98,73,100,84,6.8
